case_id,ai_probability_class_1,split,outer_fold,probability_source
1,0.46970346570014954,train,2,fast_insample
2,0.7082178592681885,train,2,fast_insample
3,0.11755889654159546,train,2,fast_insample
4,0.3413698971271515,train,2,fast_insample
5,0.13397006690502167,train,2,fast_insample
6,0.3755187392234802,train,2,fast_insample
7,0.31899166107177734,train,2,fast_insample
8,0.7546156048774719,train,2,fast_insample
9,0.3083250820636749,train,2,fast_insample
10,0.12356104701757431,train,2,fast_insample
11,0.6838476657867432,train,2,fast_insample
12,0.6389625668525696,train,2,fast_insample
14,0.8651942014694214,train,2,fast_insample
15,0.25686824321746826,train,2,fast_insample
16,0.27936214208602905,train,2,fast_insample
17,0.607273280620575,train,2,fast_insample
18,0.18845239281654358,train,2,fast_insample
20,0.8632132411003113,train,2,fast_insample
21,0.15234877169132233,train,2,fast_insample
22,0.43328556418418884,train,2,fast_insample
23,0.3909951150417328,train,2,fast_insample
24,0.2599552869796753,train,2,fast_insample
26,0.32282155752182007,train,2,fast_insample
27,0.10588221997022629,train,2,fast_insample
29,0.3381269574165344,train,2,fast_insample
31,0.7156420946121216,train,2,fast_insample
33,0.26249346137046814,train,2,fast_insample
34,0.5777733325958252,train,2,fast_insample
35,0.11625470221042633,train,2,fast_insample
36,0.32499557733535767,train,2,fast_insample
37,0.2110787034034729,train,2,fast_insample
38,0.18341723084449768,train,2,fast_insample
39,0.33672046661376953,train,2,fast_insample
41,0.29285892844200134,train,2,fast_insample
42,0.25713247060775757,train,2,fast_insample
43,0.15552015602588654,train,2,fast_insample
44,0.9004033803939819,train,2,fast_insample
46,0.1811489760875702,train,2,fast_insample
47,0.9261535406112671,train,2,fast_insample
48,0.5615498423576355,train,2,fast_insample
49,0.10801291465759277,train,2,fast_insample
52,0.30650031566619873,train,2,fast_insample
53,0.20582793653011322,train,2,fast_insample
54,0.5005570650100708,train,2,fast_insample
55,0.693530797958374,train,2,fast_insample
56,0.6526537537574768,train,2,fast_insample
57,0.5097556710243225,train,2,fast_insample
60,0.20682001113891602,train,2,fast_insample
61,0.18309037387371063,train,2,fast_insample
62,0.14733174443244934,train,2,fast_insample
63,0.6724835634231567,train,2,fast_insample
64,0.23843291401863098,train,2,fast_insample
66,0.6077514290809631,train,2,fast_insample
67,0.2508334517478943,train,2,fast_insample
68,0.7766498923301697,train,2,fast_insample
69,0.18690212070941925,train,2,fast_insample
70,0.8767313957214355,train,2,fast_insample
72,0.528296172618866,train,2,fast_insample
73,0.1320127248764038,train,2,fast_insample
74,0.15427935123443604,train,2,fast_insample
75,0.25484976172447205,train,2,fast_insample
76,0.9225484728813171,train,2,fast_insample
77,0.4359934329986572,train,2,fast_insample
78,0.3554122745990753,train,2,fast_insample
79,0.1839868426322937,train,2,fast_insample
80,0.6983757019042969,train,2,fast_insample
81,0.685268759727478,train,2,fast_insample
82,0.392992228269577,train,2,fast_insample
83,0.8490777611732483,train,2,fast_insample
84,0.1293007880449295,train,2,fast_insample
85,0.6577513217926025,train,2,fast_insample
86,0.6462994813919067,train,2,fast_insample
87,0.1277870088815689,train,2,fast_insample
88,0.3456636369228363,train,2,fast_insample
89,0.3013532757759094,train,2,fast_insample
90,0.41638123989105225,train,2,fast_insample
91,0.5264575481414795,train,2,fast_insample
92,0.18086452782154083,train,2,fast_insample
93,0.10061055421829224,train,2,fast_insample
94,0.09793408215045929,train,2,fast_insample
96,0.18608100712299347,train,2,fast_insample
97,0.24594594538211823,train,2,fast_insample
98,0.7579265236854553,train,2,fast_insample
