case_id,ai_probability_class_1,split,outer_fold,probability_source
1,0.2670639753341675,train,5,fast_insample
3,0.022946372628211975,train,5,fast_insample
4,0.20908057689666748,train,5,fast_insample
5,0.04212312027812004,train,5,fast_insample
6,0.4012341797351837,train,5,fast_insample
7,0.030191471800208092,train,5,fast_insample
8,0.9405739903450012,train,5,fast_insample
9,0.2527107894420624,train,5,fast_insample
10,0.0293224286288023,train,5,fast_insample
12,0.940801739692688,train,5,fast_insample
13,0.8385684490203857,train,5,fast_insample
14,0.9169570207595825,train,5,fast_insample
15,0.9064181447029114,train,5,fast_insample
17,0.40890732407569885,train,5,fast_insample
19,0.02266574092209339,train,5,fast_insample
22,0.05286634713411331,train,5,fast_insample
23,0.17547406256198883,train,5,fast_insample
24,0.6490572094917297,train,5,fast_insample
25,0.907005786895752,train,5,fast_insample
26,0.9523622989654541,train,5,fast_insample
27,0.10683322697877884,train,5,fast_insample
28,0.22328384220600128,train,5,fast_insample
29,0.9541675448417664,train,5,fast_insample
30,0.06820598244667053,train,5,fast_insample
31,0.9532831907272339,train,5,fast_insample
32,0.1286662518978119,train,5,fast_insample
33,0.0662347823381424,train,5,fast_insample
34,0.9905121922492981,train,5,fast_insample
35,0.052698951214551926,train,5,fast_insample
38,0.0694863498210907,train,5,fast_insample
39,0.03882335498929024,train,5,fast_insample
40,0.952526867389679,train,5,fast_insample
41,0.14013272523880005,train,5,fast_insample
42,0.024961350485682487,train,5,fast_insample
44,0.9868071675300598,train,5,fast_insample
45,0.9917431473731995,train,5,fast_insample
47,0.9932219982147217,train,5,fast_insample
49,0.23252587020397186,train,5,fast_insample
50,0.5992083549499512,train,5,fast_insample
51,0.9532095193862915,train,5,fast_insample
53,0.08983529359102249,train,5,fast_insample
54,0.24697503447532654,train,5,fast_insample
56,0.8768800497055054,train,5,fast_insample
57,0.6934916973114014,train,5,fast_insample
58,0.041020192205905914,train,5,fast_insample
59,0.9891713261604309,train,5,fast_insample
60,0.03885683789849281,train,5,fast_insample
61,0.05053025111556053,train,5,fast_insample
63,0.9783534407615662,train,5,fast_insample
65,0.0667428970336914,train,5,fast_insample
66,0.7718462944030762,train,5,fast_insample
67,0.014523745514452457,train,5,fast_insample
68,0.9835593104362488,train,5,fast_insample
69,0.05848873034119606,train,5,fast_insample
70,0.4964655637741089,train,5,fast_insample
71,0.0518435575067997,train,5,fast_insample
73,0.11018388718366623,train,5,fast_insample
74,0.01045334991067648,train,5,fast_insample
75,0.014611049555242062,train,5,fast_insample
77,0.9303735494613647,train,5,fast_insample
78,0.08996929228305817,train,5,fast_insample
79,0.023858532309532166,train,5,fast_insample
80,0.9665696024894714,train,5,fast_insample
81,0.631072461605072,train,5,fast_insample
83,0.9789471626281738,train,5,fast_insample
85,0.9479438066482544,train,5,fast_insample
