case_id,ai_probability_class_1,split,outer_fold,probability_source
1,0.06501486152410507,train,4,fast_insample
2,0.8886123299598694,train,4,fast_insample
3,0.27600088715553284,train,4,fast_insample
6,0.5565574765205383,train,4,fast_insample
8,0.9395049810409546,train,4,fast_insample
9,0.6350371241569519,train,4,fast_insample
10,0.15104758739471436,train,4,fast_insample
11,0.8948710560798645,train,4,fast_insample
12,0.9164775609970093,train,4,fast_insample
13,0.07295326143503189,train,4,fast_insample
15,0.2624698281288147,train,4,fast_insample
16,0.32113146781921387,train,4,fast_insample
17,0.7581716775894165,train,4,fast_insample
18,0.4559539556503296,train,4,fast_insample
19,0.11487551778554916,train,4,fast_insample
20,0.8442955017089844,train,4,fast_insample
21,0.02613729238510132,train,4,fast_insample
22,0.6549462676048279,train,4,fast_insample
23,0.6690719127655029,train,4,fast_insample
24,0.3771771788597107,train,4,fast_insample
25,0.8784766793251038,train,4,fast_insample
26,0.7595229744911194,train,4,fast_insample
27,0.07179155945777893,train,4,fast_insample
28,0.71808922290802,train,4,fast_insample
29,0.2647954225540161,train,4,fast_insample
30,0.014070868492126465,train,4,fast_insample
32,0.13400006294250488,train,4,fast_insample
33,0.14351828396320343,train,4,fast_insample
36,0.5157212018966675,train,4,fast_insample
37,0.5429632663726807,train,4,fast_insample
38,0.15232451260089874,train,4,fast_insample
40,0.7329081296920776,train,4,fast_insample
41,0.5940185189247131,train,4,fast_insample
42,0.2590745985507965,train,4,fast_insample
43,0.1093105748295784,train,4,fast_insample
44,0.9677514433860779,train,4,fast_insample
45,0.8879570364952087,train,4,fast_insample
46,0.19306014478206635,train,4,fast_insample
47,0.9346774816513062,train,4,fast_insample
48,0.5354615449905396,train,4,fast_insample
49,0.03336609527468681,train,4,fast_insample
50,0.4274328947067261,train,4,fast_insample
51,0.8177850842475891,train,4,fast_insample
52,0.2949637770652771,train,4,fast_insample
53,0.02713165618479252,train,4,fast_insample
54,0.7847526669502258,train,4,fast_insample
55,0.839849054813385,train,4,fast_insample
56,0.4877963364124298,train,4,fast_insample
57,0.9172896146774292,train,4,fast_insample
58,0.10389261692762375,train,4,fast_insample
59,0.4584443271160126,train,4,fast_insample
60,0.050479255616664886,train,4,fast_insample
61,0.08537834137678146,train,4,fast_insample
