case_id,ai_probability_class_1,split,outer_fold,probability_source
2,0.6483438014984131,train,3,fast_insample
4,0.049910373985767365,train,3,fast_insample
5,0.20379512012004852,train,3,fast_insample
6,0.44359317421913147,train,3,fast_insample
7,0.2891909182071686,train,3,fast_insample
11,0.6332864761352539,train,3,fast_insample
13,0.2900088131427765,train,3,fast_insample
14,0.9357345104217529,train,3,fast_insample
16,0.3030800223350525,train,3,fast_insample
17,0.6987733840942383,train,3,fast_insample
18,0.4857075810432434,train,3,fast_insample
19,0.3864893317222595,train,3,fast_insample
20,0.9143764972686768,train,3,fast_insample
21,0.2362104058265686,train,3,fast_insample
22,0.43219324946403503,train,3,fast_insample
23,0.41701316833496094,train,3,fast_insample
24,0.23759658634662628,train,3,fast_insample
25,0.7618311643600464,train,3,fast_insample
26,0.3072344958782196,train,3,fast_insample
27,0.09550315886735916,train,3,fast_insample
28,0.8407003283500671,train,3,fast_insample
30,0.04705149680376053,train,3,fast_insample
31,0.8453203439712524,train,3,fast_insample
32,0.08065123111009598,train,3,fast_insample
34,0.8010697960853577,train,3,fast_insample
35,0.048070818185806274,train,3,fast_insample
36,0.20236298441886902,train,3,fast_insample
37,0.42619583010673523,train,3,fast_insample
39,0.3483879864215851,train,3,fast_insample
40,0.37895649671554565,train,3,fast_insample
42,0.24025070667266846,train,3,fast_insample
43,0.1363539844751358,train,3,fast_insample
44,0.9527518153190613,train,3,fast_insample
45,0.8900018334388733,train,3,fast_insample
46,0.24123163521289825,train,3,fast_insample
47,0.8802343606948853,train,3,fast_insample
48,0.6966135501861572,train,3,fast_insample
50,0.433889240026474,train,3,fast_insample
51,0.8690034747123718,train,3,fast_insample
52,0.3367408812046051,train,3,fast_insample
55,0.6369451284408569,train,3,fast_insample
56,0.675460934638977,train,3,fast_insample
58,0.07989013195037842,train,3,fast_insample
59,0.6440852880477905,train,3,fast_insample
60,0.10607671737670898,train,3,fast_insample
61,0.22926479578018188,train,3,fast_insample
62,0.09307384490966797,train,3,fast_insample
63,0.7783549427986145,train,3,fast_insample
64,0.09715975821018219,train,3,fast_insample
65,0.11493105441331863,train,3,fast_insample
66,0.7648631930351257,train,3,fast_insample
