case_id,ai_probability_class_1,outer_fold,inner_fold,probability_source
3,0.027832752093672752,1,1,nested_oof
7,0.3866685926914215,1,1,nested_oof
10,0.06605292856693268,1,1,nested_oof
19,0.3301565647125244,1,1,nested_oof
39,0.16598203778266907,1,1,nested_oof
41,0.9399454593658447,1,1,nested_oof
46,0.9253866672515869,1,1,nested_oof
52,0.3462370038032532,1,1,nested_oof
54,0.7020677924156189,1,1,nested_oof
57,0.8757783770561218,1,1,nested_oof
59,0.8728295564651489,1,1,nested_oof
65,0.18390817940235138,1,1,nested_oof
67,0.033299122005701065,1,1,nested_oof
71,0.010743994265794754,1,1,nested_oof
72,0.3304794430732727,1,1,nested_oof
82,0.03688499331474304,1,1,nested_oof
84,0.03637124225497246,1,1,nested_oof
90,0.2086927741765976,1,1,nested_oof
93,0.21641968190670013,1,1,nested_oof
96,0.05751444771885872,1,1,nested_oof
101,0.9976181387901306,1,1,nested_oof
108,0.3394532799720764,1,1,nested_oof
115,0.9479680061340332,1,1,nested_oof
121,0.9692813754081726,1,1,nested_oof
123,0.5023564100265503,1,1,nested_oof
129,0.9952636957168579,1,1,nested_oof
146,0.9578844308853149,1,1,nested_oof
160,0.02429557591676712,1,1,nested_oof
162,0.9662712216377258,1,1,nested_oof
166,0.8673561215400696,1,1,nested_oof
185,0.9277352094650269,1,1,nested_oof
186,0.1181640699505806,1,1,nested_oof
192,0.5102322101593018,1,1,nested_oof
196,0.09994085133075714,1,1,nested_oof
198,0.14039747416973114,1,1,nested_oof
202,0.7826480269432068,1,1,nested_oof
203,0.9962654709815979,1,1,nested_oof
204,0.9954278469085693,1,1,nested_oof
207,0.1006181612610817,1,1,nested_oof
211,0.9680927395820618,1,1,nested_oof
221,0.5967652201652527,1,1,nested_oof
223,0.9244015216827393,1,1,nested_oof
225,0.38021716475486755,1,1,nested_oof
248,0.45759260654449463,1,1,nested_oof
258,0.15068122744560242,1,1,nested_oof
260,0.989484965801239,1,1,nested_oof
266,0.9692918062210083,1,1,nested_oof
267,0.30460771918296814,1,1,nested_oof
275,0.6116626262664795,1,1,nested_oof
277,0.8088147640228271,1,1,nested_oof
278,0.7976528406143188,1,1,nested_oof
