case_id,ai_probability_class_1,outer_fold,inner_fold,probability_source
2,0.807706356048584,2,1,nested_oof
4,0.04531342163681984,2,1,nested_oof
5,0.25751516222953796,2,1,nested_oof
7,0.4228989779949188,2,1,nested_oof
12,0.8457232713699341,2,1,nested_oof
18,0.1290934532880783,2,1,nested_oof
20,0.8882865905761719,2,1,nested_oof
26,0.6827609539031982,2,1,nested_oof
33,0.10910481959581375,2,1,nested_oof
41,0.8146712779998779,2,1,nested_oof
42,0.5398109555244446,2,1,nested_oof
52,0.13184183835983276,2,1,nested_oof
54,0.4072592258453369,2,1,nested_oof
56,0.4233757555484772,2,1,nested_oof
61,0.3296906352043152,2,1,nested_oof
70,0.9476059675216675,2,1,nested_oof
87,0.18519000709056854,2,1,nested_oof
88,0.5161177515983582,2,1,nested_oof
89,0.0988464504480362,2,1,nested_oof
91,0.4659920036792755,2,1,nested_oof
99,0.6920965909957886,2,1,nested_oof
101,0.9185065031051636,2,1,nested_oof
103,0.11878731101751328,2,1,nested_oof
110,0.3131020665168762,2,1,nested_oof
120,0.9812695980072021,2,1,nested_oof
126,0.810712993144989,2,1,nested_oof
130,0.7480703592300415,2,1,nested_oof
132,0.15137021243572235,2,1,nested_oof
134,0.6263299584388733,2,1,nested_oof
142,0.8962633013725281,2,1,nested_oof
143,0.8480307459831238,2,1,nested_oof
147,0.9301158785820007,2,1,nested_oof
149,0.8389674425125122,2,1,nested_oof
153,0.1272016316652298,2,1,nested_oof
167,0.6453507542610168,2,1,nested_oof
168,0.10324176400899887,2,1,nested_oof
175,0.9723777770996094,2,1,nested_oof
177,0.452279657125473,2,1,nested_oof
194,0.9202560782432556,2,1,nested_oof
195,0.8201944828033447,2,1,nested_oof
199,0.1741284728050232,2,1,nested_oof
201,0.0630582943558693,2,1,nested_oof
203,0.9383522272109985,2,1,nested_oof
208,0.8507602214813232,2,1,nested_oof
209,0.43019163608551025,2,1,nested_oof
212,0.5823500752449036,2,1,nested_oof
213,0.9129936695098877,2,1,nested_oof
221,0.3434816002845764,2,1,nested_oof
235,0.8116415143013,2,1,nested_oof
244,0.28651466965675354,2,1,nested_oof
251,0.4458859860897064,2,1,nested_oof
254,0.08548983186483383,2,1,nested_oof
255,0.6900132298469543,2,1,nested_oof
257,0.1401035338640213,2,1,nested_oof
260,0.9600469470024109,2,1,nested_oof
262,0.025867165997624397,2,1,nested_oof
266,0.7606248259544373,2,1,nested_oof
270,0.9610915780067444,2,1,nested_oof
288,0.9305434226989746,2,1,nested_oof
297,0.17274533212184906,2,1,nested_oof
302,0.6306459903717041,2,1,nested_oof
303,0.43098339438438416,2,1,nested_oof
304,0.6768820881843567,2,1,nested_oof
305,0.6375516653060913,2,1,nested_oof
310,0.07490991801023483,2,1,nested_oof
321,0.20948171615600586,2,1,nested_oof
326,0.3133253753185272,2,1,nested_oof
328,0.2703579068183899,2,1,nested_oof
332,0.0532696470618248,2,1,nested_oof
337,0.3017110824584961,2,1,nested_oof
347,0.06935535371303558,2,1,nested_oof
354,0.7892541885375977,2,1,nested_oof
359,0.9461241364479065,2,1,nested_oof
363,0.8581421375274658,2,1,nested_oof
372,0.2975514233112335,2,1,nested_oof
380,0.8342350721359253,2,1,nested_oof
392,0.24607926607131958,2,1,nested_oof
393,0.895103394985199,2,1,nested_oof
396,0.40385904908180237,2,1,nested_oof
398,0.8799218535423279,2,1,nested_oof
400,0.6590708494186401,2,1,nested_oof
403,0.5730348825454712,2,1,nested_oof
404,0.233676478266716,2,1,nested_oof
408,0.054961271584033966,2,1,nested_oof
414,0.33878621459007263,2,1,nested_oof
419,0.32074713706970215,2,1,nested_oof
1,0.4957866370677948,2,2,nested_oof
14,0.5679930448532104,2,2,nested_oof
15,0.5129100680351257,2,2,nested_oof
31,0.579128086566925,2,2,nested_oof
37,0.49894803762435913,2,2,nested_oof
47,0.6841049194335938,2,2,nested_oof
53,0.4395843744277954,2,2,nested_oof
57,0.6388220191001892,2,2,nested_oof
66,0.4669114649295807,2,2,nested_oof
69,0.5256242752075195,2,2,nested_oof
72,0.503503680229187,2,2,nested_oof
74,0.4785591661930084,2,2,nested_oof
75,0.5073975920677185,2,2,nested_oof
81,0.6571266651153564,2,2,nested_oof
86,0.5442619323730469,2,2,nested_oof
94,0.4403271973133087,2,2,nested_oof
96,0.5190322995185852,2,2,nested_oof
98,0.5497446060180664,2,2,nested_oof
100,0.358203649520874,2,2,nested_oof
102,0.5615586042404175,2,2,nested_oof
106,0.4222750961780548,2,2,nested_oof
115,0.6716452836990356,2,2,nested_oof
116,0.5577555894851685,2,2,nested_oof
118,0.45415157079696655,2,2,nested_oof
123,0.49176326394081116,2,2,nested_oof
124,0.47398611903190613,2,2,nested_oof
128,0.5648694038391113,2,2,nested_oof
131,0.5794858336448669,2,2,nested_oof
136,0.46932217478752136,2,2,nested_oof
138,0.652614951133728,2,2,nested_oof
141,0.4703233242034912,2,2,nested_oof
146,0.6218228340148926,2,2,nested_oof
154,0.5979844331741333,2,2,nested_oof
164,0.4897559881210327,2,2,nested_oof
166,0.5037558674812317,2,2,nested_oof
171,0.5930631756782532,2,2,nested_oof
174,0.5557236075401306,2,2,nested_oof
179,0.5439677238464355,2,2,nested_oof
181,0.6587053537368774,2,2,nested_oof
187,0.406624972820282,2,2,nested_oof
190,0.639755368232727,2,2,nested_oof
191,0.49363213777542114,2,2,nested_oof
197,0.4802626371383667,2,2,nested_oof
198,0.458373099565506,2,2,nested_oof
202,0.5344393849372864,2,2,nested_oof
205,0.5040574073791504,2,2,nested_oof
206,0.41796860098838806,2,2,nested_oof
216,0.3829551339149475,2,2,nested_oof
231,0.6098151206970215,2,2,nested_oof
233,0.40094804763793945,2,2,nested_oof
239,0.5634315013885498,2,2,nested_oof
241,0.620637834072113,2,2,nested_oof
247,0.4763723313808441,2,2,nested_oof
249,0.6173474192619324,2,2,nested_oof
252,0.5377629995346069,2,2,nested_oof
263,0.5004096627235413,2,2,nested_oof
275,0.5942302346229553,2,2,nested_oof
282,0.4861503541469574,2,2,nested_oof
283,0.48379892110824585,2,2,nested_oof
293,0.6433162093162537,2,2,nested_oof
294,0.6199033260345459,2,2,nested_oof
296,0.49933314323425293,2,2,nested_oof
298,0.45741820335388184,2,2,nested_oof
299,0.5207022428512573,2,2,nested_oof
306,0.5409878492355347,2,2,nested_oof
318,0.5473993420600891,2,2,nested_oof
330,0.5316472053527832,2,2,nested_oof
338,0.5868126153945923,2,2,nested_oof
340,0.6157072186470032,2,2,nested_oof
346,0.5053409337997437,2,2,nested_oof
348,0.5785812139511108,2,2,nested_oof
351,0.5059326887130737,2,2,nested_oof
360,0.5112464427947998,2,2,nested_oof
367,0.6170211434364319,2,2,nested_oof
373,0.4164960980415344,2,2,nested_oof
379,0.404556542634964,2,2,nested_oof
383,0.6089978814125061,2,2,nested_oof
390,0.5248486399650574,2,2,nested_oof
402,0.40321317315101624,2,2,nested_oof
407,0.395910382270813,2,2,nested_oof
410,0.6138981580734253,2,2,nested_oof
420,0.49184897541999817,2,2,nested_oof
421,0.44630634784698486,2,2,nested_oof
423,0.4782283902168274,2,2,nested_oof
427,0.5305773019790649,2,2,nested_oof
3,0.050617728382349014,2,3,nested_oof
9,0.42641377449035645,2,3,nested_oof
