case_id,ai_probability_class_1,outer_fold,inner_fold,probability_source
1,0.2853422462940216,4,1,nested_oof
9,0.9944595098495483,4,1,nested_oof
11,0.9815571308135986,4,1,nested_oof
20,0.7707247138023376,4,1,nested_oof
25,0.9571751356124878,4,1,nested_oof
32,0.005523324012756348,4,1,nested_oof
38,0.18286913633346558,4,1,nested_oof
43,0.014149647206068039,4,1,nested_oof
47,0.9952806830406189,4,1,nested_oof
54,0.39428117871284485,4,1,nested_oof
59,0.8547166585922241,4,1,nested_oof
62,0.0008241152972914279,4,1,nested_oof
63,0.9887890219688416,4,1,nested_oof
69,0.005984353367239237,4,1,nested_oof
71,0.0013775319093838334,4,1,nested_oof
72,0.11285984516143799,4,1,nested_oof
82,0.00906783901154995,4,1,nested_oof
93,0.2922070622444153,4,1,nested_oof
107,0.9795064926147461,4,1,nested_oof
115,0.08974729478359222,4,1,nested_oof
119,0.20167693495750427,4,1,nested_oof
121,0.9674701690673828,4,1,nested_oof
123,0.40103140473365784,4,1,nested_oof
126,0.04484022036194801,4,1,nested_oof
142,0.12265211343765259,4,1,nested_oof
154,0.9860761761665344,4,1,nested_oof
157,0.8954084515571594,4,1,nested_oof
161,0.0039033435750752687,4,1,nested_oof
168,0.002635820070281625,4,1,nested_oof
172,0.0537143275141716,4,1,nested_oof
173,0.011327732354402542,4,1,nested_oof
177,0.046868275851011276,4,1,nested_oof
187,0.028135471045970917,4,1,nested_oof
188,0.32006511092185974,4,1,nested_oof
191,0.001555317547172308,4,1,nested_oof
193,0.010882538743317127,4,1,nested_oof
194,0.05025353655219078,4,1,nested_oof
201,0.024159323424100876,4,1,nested_oof
203,0.977253258228302,4,1,nested_oof
204,0.9988269209861755,4,1,nested_oof
205,0.024913880974054337,4,1,nested_oof
207,0.02233768440783024,4,1,nested_oof
208,0.9816598296165466,4,1,nested_oof
215,0.011561215855181217,4,1,nested_oof
216,0.1549891233444214,4,1,nested_oof
218,0.004691665526479483,4,1,nested_oof
219,0.996008038520813,4,1,nested_oof
249,0.5731978416442871,4,1,nested_oof
