case_id,ai_probability_class_1,outer_fold,inner_fold,probability_source
1,0.03561220318078995,5,1,nested_oof
5,0.04033037647604942,5,1,nested_oof
8,0.8865057229995728,5,1,nested_oof
10,0.035017888993024826,5,1,nested_oof
12,0.7223926186561584,5,1,nested_oof
17,0.9403267502784729,5,1,nested_oof
22,0.06113355979323387,5,1,nested_oof
24,0.16404250264167786,5,1,nested_oof
25,0.657604992389679,5,1,nested_oof
28,0.7572135925292969,5,1,nested_oof
29,0.08002552390098572,5,1,nested_oof
32,0.03003651276230812,5,1,nested_oof
40,0.4286353588104248,5,1,nested_oof
44,0.9553321003913879,5,1,nested_oof
47,0.8939218521118164,5,1,nested_oof
50,0.7615249752998352,5,1,nested_oof
54,0.14981426298618317,5,1,nested_oof
68,0.9290977716445923,5,1,nested_oof
78,0.16731157898902893,5,1,nested_oof
79,0.09496290236711502,5,1,nested_oof
86,0.3140338957309723,5,1,nested_oof
89,0.058321863412857056,5,1,nested_oof
90,0.13390131294727325,5,1,nested_oof
96,0.056675177067518234,5,1,nested_oof
97,0.02722703292965889,5,1,nested_oof
99,0.3526649475097656,5,1,nested_oof
100,0.015734903514385223,5,1,nested_oof
106,0.32156142592430115,5,1,nested_oof
107,0.12457956373691559,5,1,nested_oof
112,0.027863861992955208,5,1,nested_oof
118,0.03429609537124634,5,1,nested_oof
119,0.4681374728679657,5,1,nested_oof
129,0.9489144682884216,5,1,nested_oof
132,0.036122359335422516,5,1,nested_oof
135,0.8630644679069519,5,1,nested_oof
137,0.06563154608011246,5,1,nested_oof
152,0.4622825086116791,5,1,nested_oof
163,0.4517664909362793,5,1,nested_oof
167,0.5987012386322021,5,1,nested_oof
171,0.3294908404350281,5,1,nested_oof
172,0.7604191303253174,5,1,nested_oof
173,0.018715808168053627,5,1,nested_oof
176,0.18050281703472137,5,1,nested_oof
182,0.018344886600971222,5,1,nested_oof
186,0.02629821002483368,5,1,nested_oof
195,0.8653318285942078,5,1,nested_oof
203,0.9550110697746277,5,1,nested_oof
207,0.03466552495956421,5,1,nested_oof
208,0.7384722828865051,5,1,nested_oof
209,0.15026523172855377,5,1,nested_oof
210,0.07754523307085037,5,1,nested_oof
217,0.0878807008266449,5,1,nested_oof
221,0.5006098747253418,5,1,nested_oof
222,0.3053099513053894,5,1,nested_oof
225,0.02647457830607891,5,1,nested_oof
228,0.20041871070861816,5,1,nested_oof
236,0.06126411631703377,5,1,nested_oof
239,0.21684901416301727,5,1,nested_oof
240,0.5069213509559631,5,1,nested_oof
255,0.696122944355011,5,1,nested_oof
256,0.1558256447315216,5,1,nested_oof
265,0.7325450778007507,5,1,nested_oof
268,0.04485146701335907,5,1,nested_oof
270,0.9899351000785828,5,1,nested_oof
271,0.19906197488307953,5,1,nested_oof
286,0.014876984059810638,5,1,nested_oof
289,0.05219908058643341,5,1,nested_oof
295,0.1269541233778,5,1,nested_oof
305,0.46569693088531494,5,1,nested_oof
315,0.9685420989990234,5,1,nested_oof
329,0.5834396481513977,5,1,nested_oof
330,0.1485905945301056,5,1,nested_oof
331,0.8904809355735779,5,1,nested_oof
335,0.0274279173463583,5,1,nested_oof
351,0.7468421459197998,5,1,nested_oof
352,0.3535800576210022,5,1,nested_oof
354,0.6281207799911499,5,1,nested_oof
366,0.18232180178165436,5,1,nested_oof
376,0.020022574812173843,5,1,nested_oof
397,0.06319712847471237,5,1,nested_oof
403,0.07921387255191803,5,1,nested_oof
404,0.0754251703619957,5,1,nested_oof
411,0.5388534665107727,5,1,nested_oof
420,0.027849387377500534,5,1,nested_oof
421,0.23014329373836517,5,1,nested_oof
424,0.17378774285316467,5,1,nested_oof
7,0.1967889368534088,5,2,nested_oof
13,0.1906113624572754,5,2,nested_oof
14,0.8971304297447205,5,2,nested_oof
27,0.33920446038246155,5,2,nested_oof
31,0.684842586517334,5,2,nested_oof
35,0.2665880024433136,5,2,nested_oof
42,0.3182677924633026,5,2,nested_oof
49,0.27751094102859497,5,2,nested_oof
56,0.12935563921928406,5,2,nested_oof
57,0.48199576139450073,5,2,nested_oof
58,0.1437699794769287,5,2,nested_oof
63,0.2142266035079956,5,2,nested_oof
67,0.16333386301994324,5,2,nested_oof
73,0.2937411367893219,5,2,nested_oof
80,0.7596297860145569,5,2,nested_oof
95,0.6929070949554443,5,2,nested_oof
102,0.28227657079696655,5,2,nested_oof
108,0.4554976224899292,5,2,nested_oof
110,0.41804999113082886,5,2,nested_oof
116,0.6499171257019043,5,2,nested_oof
117,0.8417630195617676,5,2,nested_oof
124,0.49553659558296204,5,2,nested_oof
126,0.6082228422164917,5,2,nested_oof
127,0.4679635465145111,5,2,nested_oof
131,0.34051015973091125,5,2,nested_oof
140,0.12754088640213013,5,2,nested_oof
144,0.7452689409255981,5,2,nested_oof
145,0.5757073163986206,5,2,nested_oof
148,0.1833513379096985,5,2,nested_oof
149,0.5948085188865662,5,2,nested_oof
156,0.2662295997142792,5,2,nested_oof
159,0.9076423048973083,5,2,nested_oof
160,0.06970895826816559,5,2,nested_oof
165,0.9257120490074158,5,2,nested_oof
168,0.15935438871383667,5,2,nested_oof
170,0.32625624537467957,5,2,nested_oof
175,0.8666219711303711,5,2,nested_oof
183,0.24765126407146454,5,2,nested_oof
184,0.6344265937805176,5,2,nested_oof
185,0.18212072551250458,5,2,nested_oof
190,0.807288646697998,5,2,nested_oof
191,0.2498907893896103,5,2,nested_oof
198,0.3552587330341339,5,2,nested_oof
202,0.45988956093788147,5,2,nested_oof
206,0.07444993406534195,5,2,nested_oof
214,0.4357897639274597,5,2,nested_oof
227,0.30364081263542175,5,2,nested_oof
238,0.05824163556098938,5,2,nested_oof
250,0.09064539521932602,5,2,nested_oof
251,0.5795079469680786,5,2,nested_oof
261,0.25110408663749695,5,2,nested_oof
263,0.7080704569816589,5,2,nested_oof
269,0.3061829209327698,5,2,nested_oof
273,0.6411787271499634,5,2,nested_oof
276,0.381946325302124,5,2,nested_oof
282,0.18918780982494354,5,2,nested_oof
287,0.37825703620910645,5,2,nested_oof
291,0.4491690695285797,5,2,nested_oof
293,0.9009221792221069,5,2,nested_oof
307,0.35556602478027344,5,2,nested_oof
311,0.08054559677839279,5,2,nested_oof
316,0.7749490737915039,5,2,nested_oof
317,0.806381344795227,5,2,nested_oof
328,0.33296412229537964,5,2,nested_oof
340,0.7154044508934021,5,2,nested_oof
344,0.3131825625896454,5,2,nested_oof
345,0.05886364355683327,5,2,nested_oof
348,0.5311990976333618,5,2,nested_oof
353,0.40965840220451355,5,2,nested_oof
365,0.22589540481567383,5,2,nested_oof
368,0.2949332594871521,5,2,nested_oof
371,0.280769944190979,5,2,nested_oof
375,0.5023796558380127,5,2,nested_oof
381,0.5902804732322693,5,2,nested_oof
384,0.17150655388832092,5,2,nested_oof
386,0.282504141330719,5,2,nested_oof
388,0.4519982635974884,5,2,nested_oof
391,0.09733139723539352,5,2,nested_oof
394,0.2703617513179779,5,2,nested_oof
396,0.6415057182312012,5,2,nested_oof
412,0.2870182693004608,5,2,nested_oof
415,0.7533496022224426,5,2,nested_oof
416,0.13863462209701538,5,2,nested_oof
418,0.3084210753440857,5,2,nested_oof
422,0.3641619086265564,5,2,nested_oof
427,0.3667900860309601,5,2,nested_oof
4,0.09717879444360733,5,3,nested_oof
6,0.9225559830665588,5,3,nested_oof
